"","X","full_name","rating","jersey","team","position","b_day","metros","kilos","salary","country","draft_year","draft_round","draft_peak","college"
"358",358,"Luka Samanic",72,19,"San Antonio Spurs","F",2000-01-09,2.08,94.8,2689920,"Croatia",2019,1,19,"Studied Abroad"
"359",359,"Keldon Johnson",72,3,"San Antonio Spurs","F",1999-10-11,1.96,95.7,1950600,"USA",2019,1,29,"Kentucky"
"360",360,"Matt Thomas",72,21,"Toronto Raptors","G",1994-08-04,1.93,89.4,898310,"USA",2017,3,0,"Iowa State"
"361",361,"Chris Boucher",71,25,"Toronto Raptors","F-C",1993-01-11,2.06,90.7,1588231,"Canada",2017,3,0,"Oregon"
"362",362,"Jevon Carter",71,4,"Phoenix Suns","G",1995-09-14,1.85,90.7,1416852,"USA",2018,2,32,"West Virginia"
"363",363,"Deyonta Davis",71,0,"No_Team","F-C",1996-12-02,2.08,108.9,250000,"USA",2016,2,31,"Michigan State"
"364",364,"Jacob Evans",71,0,"Minnesota Timberwolves","G",1997-06-18,1.93,95.3,1925880,"USA",2018,1,28,"Cincinnati"
"365",365,"Terrance Ferguson",71,23,"Oklahoma City Thunder","G",1998-05-17,1.98,83.5,2475840,"USA",2017,1,21,"High School"
"366",366,"Daniel Gafford",71,12,"Chicago Bulls","F",1998-10-01,2.08,106.1,898310,"USA",2019,2,38,"Arkansas"
"367",367,"Treveon Graham",71,12,"Atlanta Hawks","G",1993-10-28,1.96,99.3,1645357,"USA",2015,3,0,"VCU"
"368",368,"Frank Jackson",71,15,"New Orleans Pelicans","G",1998-05-04,1.91,93,1618520,"USA",2017,2,31,"Duke"
"369",369,"Luke Kornet",71,2,"Chicago Bulls","C",1995-07-15,2.18,108.9,2250000,"USA",2017,3,0,"Vanderbilt"
"370",370,"Frank Mason",71,15,"Milwaukee Bucks","G",1994-04-13,1.8,86.2,79568,"USA",2017,2,34,"Kansas"
"371",371,"Ben McLemore",71,16,"Houston Rockets","G",1993-02-11,1.91,85.7,2028594,"USA",2013,1,7,"Kansas"
"372",372,"Dzanan Musa",71,13,"Brooklyn Nets","F",1999-05-08,2.06,88.5,1911600,"Bosnia and Herzegovina",2018,1,29,"Studied Abroad"
"373",373,"Elie Okobo",71,2,"Phoenix Suns","G",1997-10-23,1.91,86.2,1416852,"France",2018,2,31,"Studied Abroad"
"374",374,"Jerome Robinson",71,1,"Washington Wizards","G",1997-02-22,1.93,86.2,3567720,"USA",2018,1,13,"Boston College"
"375",375,"JaKarr Sampson",71,14,"Indiana Pacers","F",1993-03-20,2.01,101.2,1737145,"USA",2014,3,0,"St. John's"
"376",376,"Edmond Sumner",71,5,"Indiana Pacers","G",1995-12-13,1.93,84.4,2e+06,"USA",2017,2,52,"Xavier"
"377",377,"Gary Trent Jr",71,2,"Portland Trail Blazers","G",1999-01-18,1.96,94.8,1416852,"USA",2018,2,37,"Duke"
"378",378,"Moritz Wagner",71,21,"Washington Wizards","F",1997-04-26,2.11,108.9,2063520,"Germany",2018,1,25,"Michigan"
"379",379,"Admiral Schofield",71,1,"Washington Wizards","F",1997-03-30,1.96,109.3,1e+06,"USA",2019,2,42,"Tennessee"
"380",380,"Bruno Fernando",71,24,"Atlanta Hawks","F",1998-08-15,2.06,111.1,1400000,"Angola",2019,2,34,"Maryland"
"381",381,"Alen Smailagic",71,6,"Golden State Warriors","F",2000-08-18,2.08,97.5,898310,"Serbia",2019,2,39,"Studied Abroad"
"382",382,"Eric Paschall",71,7,"Golden State Warriors","F",1996-11-04,1.98,115.7,898310,"USA",2019,2,41,"Villanova"
"383",383,"Carsen Edwards",71,4,"Boston Celtics","G",1998-03-12,1.8,90.7,1228026,"USA",2019,2,33,"Purdue"
"384",384,"KZ Okpala",71,4,"Miami Heat","F",1999-04-28,2.03,97.5,898310,"USA",2019,2,32,"Stanford"
"385",385,"Shake Milton",71,18,"Philadelphia 76ers","C",1996-09-26,1.96,93,1445697,"USA",2018,2,54,"SMU"
"386",386,"Chimezie Metu",71,7,"San Antonio Spurs","F",1997-03-22,2.06,102.1,1416852,"Nigeria",2018,2,49,"USC"
"387",387,"Keita Bates-Diop",70,0,"Denver Nuggets","F",1996-01-23,2.03,106.6,1416852,"USA",2018,2,48,"Ohio State"
"388",388,"Darius Bazley",70,7,"Oklahoma City Thunder","F",2000-06-12,2.03,90.7,2284800,"USA",2019,1,23,"High School"
"389",389,"Tony Bradley",70,13,"Utah Jazz","F-C",1998-01-08,2.08,112.5,1962360,"USA",2017,1,28,"North Carolina"
"390",390,"Hamidou Diallo",70,6,"Oklahoma City Thunder","G",1998-07-31,1.96,89.8,1416852,"USA",2018,2,45,"Kentucky"
"391",391,"Melvin Frazier",70,35,"Orlando Magic","F",1996-08-30,1.96,91.2,1416852,"USA",2018,2,35,"Tulane"
"392",392,"Solomon Hill",70,44,"Miami Heat","F",1991-03-18,1.98,102.5,13290395,"USA",2013,1,23,"Arizona"
"393",393,"Alize Johnson",70,24,"Indiana Pacers","F",1996-04-26,2.01,91.2,1416852,"USA",2018,2,50,"Missouri State"
"394",394,"Skal Labissiere",70,0,"Atlanta Hawks","C-F",1996-03-18,2.08,98,2338846,"Haiti",2016,1,28,"Kentucky"
"395",395,"Tyler Lydon",70,0,"No_Team","F-C",1996-04-09,2.06,99.8,50000,"USA",2017,1,24,"Syracuse"
"396",396,"Sviatoslav Mykhailiuk",70,19,"Detroit Pistons","G",1997-06-10,2.01,93,1416852,"Ukraine",2018,2,47,"Kansas"
"397",397,"Johnathan Motley",70,15,"Los Angeles Clippers","F",1995-05-04,2.03,104.3,79568,"USA",2017,3,0,"Baylor"
"398",398,"Abdel Nader",70,11,"Oklahoma City Thunder","F",1993-09-25,1.96,102.1,1618520,"Egypt",2016,2,58,"Iowa State"
"399",399,"Miles Plumlee",70,0,"No_Team","F-C",1988-09-01,2.11,115.7,12500000,"USA",2012,1,26,"Duke"
"400",400,"Caleb Swanigan",70,50,"Portland Trail Blazers","C",1997-04-18,2.06,112.9,2033160,"USA",2017,1,26,"Purdue"
"401",401,"Jarred Vanderbilt",70,0,"Minnesota Timberwolves","F",1999-04-03,2.06,97.1,1416852,"USA",2018,2,41,"Kentucky"
"402",402,"Jemerrio Jones",70,0,"No_Team","F",1995-04-09,1.96,91.2,195077,"USA",2018,3,0,"New Mexico State"
"403",403,"Jordan Poole",70,3,"Golden State Warriors","G",1999-06-19,1.93,88,1964760,"USA",2019,1,28,"Michigan"
"404",404,"Talen Horton-Tucker",70,5,"Los Angeles Lakers","G",2000-11-20,1.93,106.1,898310,"USA",2019,2,46,"Iowa State"
"405",405,"Yante Maten",70,0,"No_Team","F-C",1996-08-14,2.03,108.9,1e+05,"USA",2018,3,0,"Georgia"
"406",406,"Thanasis Antetokounmpo",70,43,"Milwaukee Bucks","F",1992-07-18,1.98,97.5,1445697,"Greece",2014,2,51,"Studied Abroad"
